Gene.refGene,Z_score
HIST1H1C,-0.033418759
STX6,0.019644882
KRTAP9-9,0.044192866
CIDEB,-0.114233465
PDK3,0.029723478
CASP4,-0.216951789
KCNJ11,0.000764084
TPR,0.062473914
MTX2,0.020918042
ZSCAN20,0.151102697
BRD3,0.023055468
LYRM7,0.087459734
HIST1H2BO,0.109494642
MAGEB10,0.021012064
SERPINA3,-0.124385452
FBXO39,0.137894225
KCNJ16,-0.001804237
LOC644961,0.140977053
FABP2,0.132339058
KRT79,0.125795667
ZNF57,-0.050247089
FBXL4,0.116101592
CLEC9A,0.011787911
UGT8,-0.049809397
BMP2K,-0.0120829
SLC25A23,-0.077538138
MAPK4,0.082865217
HINT1,-0.188463014
KRTAP13-1,0.075448127
SFXN5,0.002459295
CHCHD2,-0.145149397
FAM3D,-0.040637749
NDP,0.068541147
SLC4A4,0.003224433
RHOBTB1,0.192641391
SUMO1P3,-0.017434648
AP2A2,-0.060028824
ZBTB46,0.099455197
MAP7D1,-0.190341958
AOX1,-0.076881674
CYR61,-0.145723256
DTNA,-0.034533251
JRKL,0.003563657
C1orf86,-0.159917944
TMOD3,-0.162422254
EEA1,0.054101857
ADCK5,0.082979742
IL1R1,-0.078822204
KLK3,0.054704676
HRSP12,-0.100910532
FABP9,0.014640929
KTN1,0.044874027
RELL2,0.089482659
MAB21L1,0.188212342
ADAM2,0.056660786
PHKB,-0.081614263
TBC1D8B,0.023300368
LAPTM4B,0.091535761
LCN8,0.121804481
TMEM147,-0.12545577
SYT4,0.180456705
GGT5,-0.152439458
XPO7,0.029021219
GPR75,0.090253925
TRIM5,-0.151385731
APOC1,-0.151193097
PARD6B,0.1702927
ARHGAP11B,0.022327975
ARID1A,0.078240803
TPD52L3,0.047023119
RRAGB,0.045834658
SLC38A11,0.115445193
RCN2,-0.132855544
HIST2H2BE,0.004845185
STARD7,-0.135258471
SHMT2,-0.148639904
MLYCD,-0.08296717
SDHA,-0.15665433
NCLN,-0.105786631
OR6C3,0.10740865
LOC285456,0.139268498
ZNF17,0.041980143
ZNF280D,0.101786474
RCBTB2,-0.172664518
VEGFB,-0.131468843
COLQ,0.021832254
MGC23284,0.058481735
DRG2,-0.18127397
KLRB1,-0.022757632
ALPK2,0.125843402
DNASE2B,0.037750834
SAFB,-0.102534645
SRSF12,0.119900014
NSUN4,0.088114508
RFX2,0.054624883
MAPK8IP1,-0.037543805
FANCD2,0.0801421
ANKZF1,0.060780235
DUSP8,0.014299021
SENP5,0.065581327
SNORA14B,-1.26E-05
LBR,-0.203134253
IGFL1,0.135999781
LZTS2,-0.108045425
IL2RG,-0.074999405
CCDC51,0.030670784
KLF3,-0.164215017
ANKRD37,0.064117826
FZR1,-0.018941095
KCTD14,0.060721428
SLC44A4,-0.022107686
ESPL1,0.065222104
GMPR2,-0.187462223
TBC1D19,0.113848835
ERGIC1,-0.219919907
ERBB4,0.114820075
TSPAN32,0.025336376
MAP4,-0.088248313
GPHN,0.14328485
SLC6A2,0.124898299
ORC3,0.035359673
HIVEP1,0.100533845
EIF4EBP2,-0.162590414
DFFB,0.12771568
DMRT1,0.079777688
ANKRD34B,0.015958899
MIR31,0.104332517
HSPB6,-0.155900422
IER2,-0.110436919
AIFM1,-0.020151609
WWC2,0.144582572
MRPL4,-0.125093878
METTL11A,-0.195938076
EPB41L4A,0.056432284
SH2D6,0.108513305
NUDT4P1,-0.164342329
OR51V1,0.123093499
GAL3ST3,0.162772171
RTDR1,0.092367241
MALT1,0.020448788
ARVCF,0.036176267
MEX3B,0.145478843
FBXO16,0.205014297
KIF7,0.023290148
C1QC,-0.175629261
ZNF783,0.057574681
ZNF85,0.069416828
MMP13,0.01642043
MIR33A,0.029053644
RTP3,0.039594324
ZBED3,-0.027201309
CLGN,0.108537431
